"M,A,M - forecast","M,A,M - lower bound","M,A,M - upper bound",date
3064.98535,3023.60804,3106.36265,"Nov/ 1/2019",1572652800000
3060.78472,3006.61033,3114.9591,"Nov/ 2/2019",1572739200000
3069.66012,3004.90996,3134.41028,"Nov/ 3/2019",1572829200000
3065.70056,2992.04381,3139.3573,"Nov/ 4/2019",1572915600000
3063.85191,2982.2009,3145.50291,"Nov/ 5/2019",1573002000000
3067.43,2978.32562,3156.53438,"Nov/ 6/2019",1573088400000
3071.62386,2975.56138,3167.68634,"Nov/ 7/2019",1573174800000
3068.45146,2966.08382,3170.8191,"Nov/ 8/2019",1573261200000
3069.45251,2960.9946,3177.91043,"Nov/ 9/2019",1573347600000
3075.89256,2961.43203,3190.35309,"Nov/10/2019",1573434000000
3077.14133,2957.109,3197.17367,"Nov/11/2019",1573520400000
3077.99014,2952.61657,3203.36371,"Nov/12/2019",1573606800000
3079.23852,2948.6959,3209.78114,"Nov/13/2019",1573693200000
3079.22458,2943.73466,3214.7145,"Nov/14/2019",1573779600000
3079.73299,2939.42423,3220.04176,"Nov/15/2019",1573866000000
3087.35842,2942.03134,3232.68549,"Nov/16/2019",1573952400000
3086.94367,2937.08765,3236.79968,"Nov/17/2019",1574038800000
3082.70313,2928.62689,3236.77936,"Nov/18/2019",1574125200000
3091.63226,2932.77495,3250.48957,"Nov/19/2019",1574211600000
3087.63454,2924.7491,3250.51997,"Nov/20/2019",1574298000000
3085.76286,2918.83349,3252.69224,"Nov/21/2019",1574384400000
3089.35674,2918.16739,3260.5461,"Nov/22/2019",1574470800000
3093.57078,2918.15312,3268.98844,"Nov/23/2019",1574557200000
3090.36593,2911.21045,3269.52141,"Nov/24/2019",1574643600000
3091.36435,2908.29671,3274.43198,"Nov/25/2019",1574730000000
3097.84057,2910.5896,3285.09155,"Nov/26/2019",1574816400000
3099.08847,2908.0195,3290.15744,"Nov/27/2019",1574902800000
3099.93355,2905.12429,3294.74282,"Nov/28/2019",1574989200000
3101.18105,2902.65601,3299.70609,"Nov/29/2019",1575075600000
3101.15724,2899.04583,3303.26866,"Nov/30/2019",1575162000000
3101.65952,2895.97374,3307.3453,"Dec/ 1/2019",1575248400000
3109.32946,2899.62921,3319.0297,"Dec/ 2/2019",1575334800000
3108.90199,2895.7656,3322.03837,"Dec/ 3/2019",1575421200000
3104.62154,2888.3606,3320.88248,"Dec/ 4/2019",1575507600000
3113.60439,2893.32826,3333.88053,"Dec/ 5/2019",1575594000000
3109.56852,2886.22944,3332.90759,"Dec/ 6/2019",1575680400000
3107.67382,2881.15935,3334.18828,"Dec/ 7/2019",1575766800000
3111.28349,2881.22405,3341.34292,"Dec/ 8/2019",1575853200000
3115.51769,2881.8909,3349.14449,"Dec/ 9/2019",1575939600000
3112.28039,2875.67616,3348.88462,"Dec/10/2019",1576026000000
3113.27618,2873.40447,3353.14788,"Dec/11/2019",1576112400000
3119.78859,2876.24498,3363.33219,"Dec/12/2019",1576198800000
3121.03561,2874.25048,3367.82073,"Dec/13/2019",1576285200000
3121.87696,2871.90647,3371.84745,"Dec/14/2019",1576371600000
3123.12358,2869.95841,3376.28876,"Dec/15/2019",1576458000000
3123.08991,2866.8569,3379.32292,"Dec/16/2019",1576544400000
3123.58604,2864.26468,3382.90741,"Dec/17/2019",1576630800000
3131.30049,2868.30611,3394.29487,"Dec/18/2019",1576717200000
3130.86031,2864.89101,3396.8296,"Dec/19/2019",1576803600000
3126.53995,2857.95259,3395.12731,"Dec/20/2019",1576890000000
